Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
9,2,25.1,98436.31,5/31/2026,22:6:08.037,25.504839957370308,40.65042,-78.01734,332.3,9,0.28834,7.96212,-5.67578,0.011,-0.06109,0.00489,-79.53814,52.00233,-36.71441,88
10,2,25.13,98441.47,5/31/2026,22:6:13.424,31.005816957370307,40.65041,-78.01733,332.3,9,1.82572,9.91107,0.59701,-0.19426,-0.49602,0.99938,-84.63899,37.69366,-66.98334,88
10,3,25.13,98441.47,5/31/2026,22:6:13.424,31.016558957370307,40.65041,-78.01733,332.3,9,1.82572,9.91107,0.59701,-0.19426,-0.49602,0.99938,-84.63899,37.69366,-66.98334,88
11,3,25.11,98440.31,5/31/2026,22:6:18.049,35.14741795737031,40.65041,-78.01723,332.4,8,-0.12921,9.81297,0.79322,0.02443,-0.04032,-0.00367,-76.9658,34.14206,-68.03566,88
11,4,25.11,98440.31,5/31/2026,22:6:18.049,35.15718395737031,40.65041,-78.01723,332.4,8,-0.12921,9.81297,0.79322,0.02443,-0.04032,-0.00367,-76.9658,34.14206,-68.03566,88
12,4,25.12,98438.97,5/31/2026,22:6:20.266,36.74312095737031,40.65042,-78.01724,332.4,8,-0.08734,9.91705,1.11864,0.02321,-0.04154,-0.00489,-77.85735,35.26746,-70.60801,88
12,5,25.12,98438.97,5/31/2026,22:6:20.266,36.75288695737031,40.65042,-78.01724,332.4,8,-0.08734,9.91705,1.11864,0.02321,-0.04154,-0.00489,-77.85735,35.26746,-70.60801,88
13,5,25.13,98438.51,5/31/2026,22:6:21.388,38.22358995737031,40.65042,-78.01724,332.4,8,-0.06341,9.81177,0.73819,0.03054,-0.04032,-0.00733,-77.84274,34.63899,-67.9772,88
13,6,25.13,98438.51,5/31/2026,22:6:21.388,38.23433195737031,40.65042,-78.01724,332.4,8,-0.06341,9.81177,0.73819,0.03054,-0.04032,-0.00733,-77.84274,34.63899,-67.9772,88
14,6,25.13,98420.0,5/31/2026,22:6:23.369,40.30073895737031,40.65042,-78.01724,332.4,7,-0.1328,9.80459,0.69751,0.02566,-0.04154,-0.00244,-73.80882,34.41976,-68.32797,88
14,7,25.13,98420.0,5/31/2026,22:6:23.369,40.31050395737031,40.65042,-78.01724,332.4,7,-0.1328,9.80459,0.69751,0.02566,-0.04154,-0.00244,-73.80882,34.41976,-68.32797,88
15,7,25.14,98440.42,5/31/2026,22:6:26.213,42.52046495737031,40.6504,-78.01725,332.5,7,1.65823,9.08555,1.07797,-0.0171,-0.13561,-0.67806,-81.3651,34.71207,-66.83718,88
15,8,25.14,98440.42,5/31/2026,22:6:26.213,42.53023095737031,40.6504,-78.01725,332.5,7,1.65823,9.08555,1.07797,-0.0171,-0.13561,-0.67806,-81.3651,34.71207,-66.83718,88
16,8,25.15,98441.77,5/31/2026,22:6:27.236,43.55855095737031,40.6504,-78.01726,332.6,7,-0.79202,9.08076,0.38046,0.06475,0.16127,-0.20769,-77.85735,32.97281,-66.82256,88
16,9,25.15,98441.77,5/31/2026,22:6:27.236,43.56929295737031,40.6504,-78.01726,332.6,7,-0.79202,9.08076,0.38046,0.06475,0.16127,-0.20769,-77.85735,32.97281,-66.82256,88
17,9,25.15,98440.48,5/31/2026,22:6:31.110,47.42769195737031,40.65043,-78.0174,332.8,7,-0.15434,9.92663,0.79322,0.04154,-0.04276,0.02688,-71.83572,31.96434,-64.46945,88
18,9,25.16,98441.33,5/31/2026,22:6:32.060,48.81831695737031,40.65044,-78.01743,332.8,8,-0.1328,9.74597,0.58505,0.0281,-0.04032,-0.00122,-71.22186,34.59515,-67.08565,88
19,9,25.16,98440.23,5/31/2026,22:6:33.560,49.87886395737031,40.65045,-78.01746,332.8,8,-0.38883,10.78206,0.27398,0.04887,-0.04765,-0.01955,-70.72494,31.97895,-65.66793,87
19,10,25.16,98440.23,5/31/2026,22:6:33.560,49.88960595737031,40.65045,-78.01746,332.8,8,-0.38883,10.78206,0.27398,0.04887,-0.04765,-0.01955,-70.72494,31.97895,-65.66793,87
20,10,25.16,98440.4,5/31/2026,22:6:35.155,51.91792595737031,40.65047,-78.01744,332.8,8,-0.0323,9.02334,-2.52204,-0.0562,-0.04643,-0.00244,-63.79713,37.41596,-65.79947,87
20,11,25.16,98440.4,5/31/2026,22:6:35.155,51.92769195737031,40.65047,-78.01744,332.8,8,-0.0323,9.02334,-2.52204,-0.0562,-0.04643,-0.00244,-63.79713,37.41596,-65.79947,87
21,11,25.18,98440.01,5/31/2026,22:6:47.260,63.52632395737031,40.65052,-78.01743,332.2,7,-0.24766,9.79263,0.17946,0.00367,-0.1576,-0.03787,-73.91113,32.51973,-63.85559,87
